label,xmin,ymin,xmax,ymax
9,211,190,259,253
7,179,257,213,293
6,230,134,291,195
6,33,82,81,150
6,125,209,156,260
6,161,70,196,108
2,163,80,216,135
9,126,164,176,229
6,121,116,156,159
2,75,161,94,194
1,264,35,279,56
9,100,200,155,264
1,29,254,34,273
4,217,56,230,72
9,51,7,67,25
1,220,61,259,104
3,23,44,60,90
0,141,130,180,175
6,201,40,222,61
4,180,241,200,265
7,239,215,259,237
6,197,7,214,35
1,67,219,74,237
6,161,112,183,136
2,75,94,97,129
9,35,208,80,280
5,51,194,113,232
4,189,51,217,80
5,27,160,65,214
