label,xmin,ymin,xmax,ymax
7,163,202,213,271
8,154,83,207,157
6,69,139,104,182
6,224,167,257,203
9,78,185,111,225
0,21,83,43,114
7,7,51,67,111
6,134,164,159,205
8,185,19,193,31
1,191,163,201,205
6,45,134,63,159
3,125,168,170,241
6,113,89,163,160
3,59,99,111,173
1,56,91,62,105
3,196,135,233,176
8,96,165,133,224
8,72,209,100,247
7,108,95,116,108
3,68,47,103,97
4,216,44,275,106
8,234,226,295,287
9,53,193,87,241
1,98,218,117,277
7,220,121,276,190
3,89,11,129,60
6,70,85,89,111
3,57,254,87,291
0,115,154,125,168
