label,xmin,ymin,xmax,ymax
5,248,232,282,272
4,182,74,211,121
7,30,186,60,231
7,121,80,165,142
2,30,160,85,215
5,60,63,100,127
6,86,229,95,250
9,253,32,274,66
7,215,222,282,288
2,240,167,275,202
0,162,81,197,138
2,228,185,274,237
5,96,190,118,212
0,27,24,50,47
3,178,251,203,292
5,133,36,161,69
3,212,268,227,293
4,275,271,294,294
0,49,206,98,260
2,152,199,186,233
4,189,111,236,169
2,153,164,208,228
4,123,188,172,237
3,85,11,134,60
6,124,118,170,191
9,274,231,286,247
2,154,49,180,85
2,71,90,129,154
9,222,98,252,146
