label,xmin,ymin,xmax,ymax
7,156,196,203,258
4,94,219,149,273
1,128,176,142,216
6,235,9,273,46
1,120,100,137,172
9,119,65,129,78
6,25,54,65,115
8,58,141,70,153
8,26,256,49,288
3,8,176,32,202
0,239,215,271,248
0,60,38,85,64
0,120,147,167,189
8,152,142,203,202
5,228,143,247,159
1,103,78,163,138
1,211,163,247,213
4,132,198,171,236
0,139,226,163,255
1,182,59,189,79
5,103,119,124,133
7,66,213,95,254
9,272,222,288,239
7,41,12,55,38
8,199,211,217,238
5,61,247,90,277
6,28,220,84,282
7,30,140,74,194
6,123,216,134,227
