label,xmin,ymin,xmax,ymax
1,148,126,181,167
2,207,83,230,111
3,208,213,236,248
2,164,153,192,188
5,81,44,136,83
2,79,208,134,260
0,246,96,257,110
4,266,27,291,52
0,264,250,292,284
3,147,94,157,106
7,44,95,65,118
3,51,95,116,167
1,135,223,156,286
6,52,34,69,63
1,160,188,194,252
3,35,80,70,117
3,29,238,53,263
8,143,127,197,194
2,203,21,215,35
1,46,186,71,243
2,10,37,53,78
1,131,36,137,62
4,33,117,69,157
0,142,131,160,147
0,273,121,293,141
2,203,72,252,121
2,120,12,183,69
9,54,173,95,238
8,151,50,188,95
