label,xmin,ymin,xmax,ymax
7,120,109,132,125
8,179,59,240,133
3,117,118,171,175
2,226,194,284,252
2,20,142,49,171
8,120,176,178,235
3,18,37,53,82
0,161,129,221,203
2,107,48,126,67
9,80,156,126,220
2,93,204,151,251
3,47,246,83,282
9,80,34,148,101
3,159,156,178,187
5,215,265,224,278
8,20,236,44,265
6,48,198,90,261
5,228,43,243,56
1,272,140,279,172
4,54,140,90,197
9,177,177,221,248
1,167,48,180,87
2,179,244,193,257
9,225,194,232,207
3,188,13,197,26
5,213,168,270,220
5,174,197,189,215
4,63,19,108,63
9,31,93,69,147
6,142,5,153,23
