label,xmin,ymin,xmax,ymax
4,105,46,139,80
1,147,143,177,179
8,202,164,231,205
3,67,199,94,231
5,136,92,208,164
0,10,19,42,46
9,116,185,136,227
3,229,114,275,164
9,180,206,217,267
1,118,45,151,103
9,31,178,65,226
5,19,62,55,98
7,202,138,228,186
3,52,219,103,270
6,187,54,225,94
0,173,181,209,226
1,224,169,244,229
2,111,6,145,41
4,53,61,74,82
1,121,227,151,283
6,210,52,279,121
9,74,35,115,86
9,154,42,194,108
1,203,83,226,135
6,111,107,165,174
8,185,123,236,186
6,144,146,205,218
1,200,212,204,228
0,225,55,236,66
