label,xmin,ymin,xmax,ymax
7,253,223,279,254
7,228,194,264,249
6,179,125,222,181
0,118,56,167,106
5,48,132,71,164
7,123,254,137,272
1,111,204,115,220
7,61,219,107,266
6,31,164,57,194
6,185,74,223,148
2,231,178,254,201
4,194,47,242,114
6,130,214,163,266
9,130,10,142,23
2,181,100,200,122
4,235,167,265,206
9,113,164,142,210
3,131,88,171,152
3,236,62,274,110
8,42,67,67,93
2,37,94,68,129
2,82,19,151,88
4,74,126,121,192
2,81,274,95,290
3,130,136,168,174
3,142,32,203,106
5,31,90,99,162
0,129,159,167,216
2,268,190,295,212
