label,xmin,ymin,xmax,ymax
9,79,151,101,181
6,189,35,214,70
1,74,115,122,165
7,80,82,111,140
7,169,218,215,282
2,52,188,77,213
3,199,198,244,272
6,165,106,222,169
6,26,52,70,117
1,144,66,163,111
5,96,215,158,265
8,152,59,192,108
8,110,20,135,58
1,242,60,274,121
2,109,65,172,128
9,174,168,200,197
7,184,61,233,116
8,161,161,214,227
1,139,168,154,212
0,63,210,124,271
0,15,61,38,91
9,80,146,87,157
6,21,16,86,81
4,109,184,156,233
9,249,32,277,86
9,119,144,166,215
4,184,63,194,76
8,35,155,77,198
9,185,93,202,114
9,216,29,256,84
