label,xmin,ymin,xmax,ymax
8,23,233,39,254
1,125,219,142,281
2,166,13,211,57
2,265,88,292,113
8,196,233,225,269
6,255,157,277,187
6,227,34,254,71
9,241,243,270,290
3,57,175,114,244
9,235,195,279,239
4,124,164,191,231
3,73,47,87,62
6,15,37,45,79
0,131,116,170,159
3,36,116,77,166
5,158,100,206,166
8,211,181,219,194
7,29,218,48,237
1,43,170,60,221
2,107,213,158,276
1,225,155,242,206
6,193,80,222,124
0,149,14,169,32
5,183,60,225,104
6,221,218,233,232
3,228,118,249,135
2,111,90,142,127
0,111,170,144,202
3,242,56,268,90
5,133,8,157,38
