label,xmin,ymin,xmax,ymax
9,160,133,192,188
0,25,114,54,157
4,245,45,284,96
4,237,207,256,226
3,141,198,173,260
4,122,166,151,212
3,196,141,224,180
8,81,32,111,88
3,152,151,201,219
3,247,140,259,156
6,12,83,22,95
3,65,153,134,225
4,154,110,206,178
4,259,156,273,182
5,193,210,258,275
6,33,195,66,242
0,189,90,204,111
1,70,74,79,99
0,40,227,86,272
6,154,247,171,268
4,37,35,88,87
8,188,50,204,72
5,136,14,179,59
0,6,178,18,189
5,258,127,282,152
4,228,186,241,200
3,46,20,61,39
2,213,29,241,56
1,44,149,58,199
